hour,day,rssi,distance,label
21,6,-57.32123574,0.000489604,0
20,4,-77.29869378,0.002223651,1
21,5,-48.02034137,0.001292583,0
14,4,-60.5470322,0.021666833,2
20,2,-57.74380663,0.000981157,0
22,3,-45.2812471,0.010693507,1
0,5,-79.70933053,0.006804274,1
2,3,-66.73034879,0.003831686,1
18,5,-65.47711356,0.001942369,1
22,6,-62.01054934,0.001147588,0
19,1,-50.01352155,0.0009896,0
4,0,-49.41421349,0.000649679,0
2,6,-55.49854529,0.004976748,1
13,5,-57.56277847,0.000811475,0
15,4,-65.96628907,0.009723936,1
12,1,-46.90744677,0.014574104,2
19,6,-46.62321358,0.000250281,0
18,1,-56.99501758,0.00187343,1
0,6,-62.39326234,0.005213874,1
6,3,-56.25384319,0.001651261,0
8,4,-45.7133857,0.003273751,0
20,1,-47.02986544,0.00128529,0
23,6,-52.77499085,0.005107369,1
10,5,-56.31725481,0.000325048,0
9,2,-59.61719076,0.000486982,0
20,4,-47.01591912,0.000979648,0
20,2,-49.84585472,0.003044506,0
3,6,-56.29932269,0.004319207,1
16,6,-54.46001171,0.000668753,0
22,0,-52.57891628,0.003922768,0
9,1,-60.46465698,0.006403531,1
18,6,-76.6419357,0.006162737,1
22,3,-72.22712091,0.001748315,0
7,2,-72.99276582,0.001881611,0
20,5,-68.16318998,0.001548351,0
21,3,-61.35823411,0.00453245,1
19,3,-47.65346715,0.001403578,0
18,2,-50.59170158,0.001845486,0
7,1,-39.56728263,0.000552839,0
8,0,-51.00290319,0.000491506,0
19,0,-47.84060498,0.001482127,0
8,5,-50.80509802,0.002544126,0
9,0,-37.31581599,0.001212088,0
6,2,-66.48495063,0.000876526,0
20,3,-41.97282701,0.001254414,0
20,6,-62.42706456,0.001385493,0
15,5,-64.38082605,0.002167795,0
2,0,-55.44615262,0.001420734,0
1,0,-49.16534975,0.003372067,1
22,6,-78.7969014,0.001581701,2
7,0,-56.98106949,0.000363917,0
8,6,-54.30250877,0.000743697,0
21,5,-48.2920738,0.000708115,0
20,5,-71.79129223,0.003982423,2
7,4,-44.49545188,0.001085347,0
14,5,-43.87833961,0.000818149,0
19,1,-54.56809265,0.000754301,0
19,2,-42.75399334,0.002256522,0
21,2,-57.69668777,0.001227796,0
18,3,-54.87450629,0.000696972,0
8,6,-48.81051552,0.002655854,0
21,2,-54.6675168,0.00117728,0
20,0,-55.24751198,0.002775202,0
18,6,-56.38356848,0.000989634,0
3,5,-76.20822366,0.008317923,1
19,5,-49.06323702,0.00224073,0
9,6,-41.22297115,0.000195773,0
21,2,-62.84733954,0.00152673,0
18,3,-49.24837351,0.001109549,0
2,0,-57.58143871,0.00206774,0
8,6,-40.6058274,0.001477072,0
22,1,-38.55034296,0.002226698,0
7,3,-47.69599824,0.001736131,0
19,5,-64.33681344,0.004701499,2
12,6,-82.81628273,0.019825194,2
0,0,-59.34490354,0.008911571,1
22,6,-65.19623486,0.002552902,1
9,6,-41.64076397,0.000826699,0
14,2,-68.83926823,0.00379067,1
5,3,-47.53927335,0.000435302,0
18,0,-53.55106792,0.001299678,0
7,4,-45.33307016,0.002224476,0
23,3,-55.52174197,0.005501524,1
8,3,-55.97398007,0.000687028,0
18,0,-77.71780919,0.023163975,2
21,4,-62.98690175,0.00170615,0
7,0,-59.26160672,0.001841511,0
22,6,-47.7985841,0.002875788,0
11,4,-67.0367375,0.005347654,1
8,4,-59.34881964,0.001597268,0
22,1,-54.46407426,0.000889829,0
21,3,-77.54289423,0.006108244,1
22,1,-68.81509892,0.008920647,2
16,2,-53.78147589,0.000862469,0
20,1,-73.90345948,0.001003834,0
17,5,-55.47105448,0.001199365,0
22,1,-52.41536582,0.001629303,0
1,3,-60.88686759,0.000259632,0
22,4,-54.09383672,0.001225034,0
5,5,-56.53457167,0.001629253,0
22,6,-74.55122579,0.003199835,1
16,0,-64.94189441,0.005580634,1
21,4,-45.50091159,0.001003338,0
1,3,-61.9580708,0.00891311,1
8,6,-44.62404363,0.002207196,0
3,6,-69.10708659,0.003496061,1
23,1,-60.9626991,0.008229027,1
1,2,-67.58904974,0.00462952,1
19,4,-46.77053911,0.001940201,0
9,2,-67.41257655,0.00383718,1
18,2,-46.97135951,0.001109571,0
4,6,-39.30311835,0.000547328,0
16,2,-97.87017185,0.000540734,0
18,4,-52.40853385,0.001091103,0
19,0,-42.22966982,0.001097056,0
7,5,-54.98953907,0.006308396,1
22,1,-38.15838079,0.000915178,0
18,1,-61.74597276,0.001139928,0
17,0,-59.53137343,0.002293383,0
21,0,-51.83664372,0.001408771,0
19,4,-51.15883091,0.001228673,0
21,0,-61.36820685,0.002749442,0
5,3,-78.77700773,0.002778157,1
9,0,-53.8256559,0.002698595,0
20,2,-56.68904191,0.001407274,0
21,3,-50.98666721,0.003892323,2
1,5,-80.88537679,0.003538909,1
22,5,-49.13880511,0.002063,0
3,5,-54.99417682,0.004876952,1
13,1,-71.93186827,0.001777446,1
2,3,-76.05704668,0.002326916,1
9,3,-62.12785065,0.001428924,0
7,4,-41.83302577,0.00099045,0
7,6,-57.96008824,0.000144794,0
21,5,-45.6150029,0.000772775,0
8,0,-71.31169022,0.000645315,0
12,1,-79.0863135,0.002007097,1
14,0,-35.11100796,0.016958219,2
21,1,-0.839550628,0.007018119,1
21,1,-51.25845463,0.001524239,0
23,5,-66.24617796,0.005031241,1
22,5,-60.23013071,0.001481662,0
19,2,-51.68241177,0.001240577,0
0,2,-55.26261354,0.007303304,1
21,0,-72.47078079,0.003329999,1
13,2,-49.19923371,0.001764552,0
5,0,-62.50091091,0.005474609,1
8,4,-56.07814863,0.000211545,0
8,3,-55.6085568,0.001455024,0
18,3,-57.11611873,0.00085182,0
20,1,-52.319703,0.002178516,0
9,6,-48.54301923,0.000534475,0
9,0,-47.88066934,0.001222138,0
21,2,-55.09134669,0.001390354,0
12,1,-57.1838032,0.001415586,0
7,4,-66.37371788,0.004918809,1
0,4,-59.77756319,0.006147179,1
4,6,-78.79287427,0.007397317,2
7,0,-80.40149041,0.00145662,0
22,2,-54.60888213,0.004305441,1
9,2,-48.51950157,0.001276842,0
23,1,-72.06906908,0.004814782,1
0,2,-67.18035878,0.000734117,1
21,4,-50.62304708,0.002638904,0
19,6,-55.19146551,0.004222356,1
9,6,-54.59289839,0.001404907,0
0,3,-66.0325476,0.001358084,1
3,2,-59.38048348,0.013841407,2
7,1,-52.39434114,0.001466702,0
8,0,-51.269133,0.000437446,0
19,2,-54.69710468,0.001100171,0
8,1,-48.03219547,0.000611773,0
21,3,-52.03124759,0.001311013,0
10,1,-83.59967844,0.013288319,2
16,0,-64.80852223,0.005081288,1
1,5,-86.74109254,0.007879983,1
20,6,-56.98314216,0.001587551,0
20,1,-49.04646423,0.00121485,0
6,2,-46.93989048,0.001875317,0
19,0,-66.8844122,0.000708027,0
11,0,-50.60615363,0.002511212,0
11,1,-55.78349888,0.008674145,1
9,6,-53.49105001,0.002225861,0
20,6,-46.70362169,0.001070639,0
21,2,-48.74981338,0.00175566,0
21,2,-64.19035228,0.002647035,0
20,3,-58.68210721,0.001040089,0
23,0,-37.18977141,0.006518699,1
19,1,-48.65652117,0.001634009,0
18,2,-50.72395481,0.000633777,0
20,5,-58.23401983,0.005238938,1
20,3,-51.33781707,0.000894373,0
22,3,-58.62337436,0.001819773,0
5,3,-60.28256912,0.000357099,0
19,4,-76.17141327,0.002639948,1
19,1,-52.90999575,0.00238587,0
8,2,-67.17887349,0.001699801,0
0,0,-71.57432158,0.008952832,1
20,6,-47.78509556,0.001294886,0
2,1,-56.84320571,0.000759204,0
9,6,-60.30227583,0.001241227,0
16,2,-70.46680085,0.003697253,1
18,4,-46.89059408,0.001220527,0
22,4,-51.87443263,0.000648172,0
20,6,-67.9884419,0.001366212,0
22,5,-53.19753662,0.000175938,0
19,5,-55.694046,0.000369865,0
23,3,-72.83765666,0.004391339,1
0,4,-42.02639885,0.001756416,0
20,0,-47.9016733,0.001045098,0
19,3,-52.56945124,0.001589043,0
12,2,-71.28424674,0.001769198,0
1,1,-83.94284736,0.003662953,1
18,2,-60.59390574,0.001575631,0
5,1,-61.70020539,0.002580234,1
18,6,-51.14507151,0.001890581,0
22,4,-54.92769451,0.000974268,0
8,0,-53.60145785,0.000944381,0
18,4,-42.8331577,0.00043335,0
20,2,-64.01054449,0.00116063,0
9,5,-60.58791037,0.001695744,0
22,1,-61.94634186,0.001911102,0
7,6,-71.28854076,0.000590974,0
23,0,-66.58873132,0.000692358,0
22,4,-52.75490876,0.001771311,0
8,3,-43.55875491,0.001774775,0
9,6,-54.7623597,0.001319234,0
11,1,-56.5515952,0.000591607,0
8,0,-64.51733327,0.00096844,0
3,5,-67.01491534,0.004363631,1
23,0,-51.68281612,0.001396612,0
22,1,-58.54435217,0.001567328,0
3,2,-61.89408741,0.005003468,1
23,2,-63.7170643,0.001069441,0
7,1,-58.83469489,0.000815631,0
1,6,-63.2816066,0.00484966,1
0,0,-58.821252,0.00410683,1
2,6,-101.3645501,0.004011475,1
19,2,-45.68267833,0.001329544,0
0,3,-67.23386741,0.017365732,2
16,4,-65.39307288,0.002691415,1
3,2,-54.83441601,0.006293258,1
19,5,-64.76096957,0.006138024,1
20,4,-56.65184788,0.000721417,0
5,4,-44.83564787,0.020015072,2
1,6,-74.95565194,0.00509735,2
19,1,-49.72292906,0.001044465,0
1,0,-74.80261176,0.006166105,1
14,4,-42.4158422,0.001932797,0
22,3,-49.96376333,0.00129076,0
10,1,-54.40178986,0.000854544,0
7,4,-56.4141933,0.000581788,0
0,0,-54.24670178,0.009604483,2
20,1,-58.64896662,0.001507585,0
5,3,-56.20083377,0.001926661,0
21,6,-73.52617731,0.001063243,0
23,5,-59.58157911,0.001759882,1
8,3,-48.23873623,0.001664686,0
9,2,-57.18497882,0.001119415,0
7,3,-41.99232868,0.002176594,0
21,5,-65.33220481,0.000978734,0
1,3,-62.79458573,0.003667853,1
22,6,-50.84000739,0.000616904,0
22,3,-45.16815598,0.001114538,0
7,6,-60.24956764,0.00082958,0
23,5,-69.99730176,0.002928974,1
21,6,-35.7196108,0.001261486,0
20,4,-72.26506787,0.00209585,0
13,4,-62.14794587,0.00039114,0
3,0,-72.30956276,0.004187805,1
20,3,-52.06219427,0.001710893,0
20,1,-63.17460377,0.00497281,2
22,2,-71.03980626,0.007611142,1
4,2,-76.54694743,0.002089961,1
21,5,-68.19226748,0.00048801,0
22,0,-47.52636802,0.003214612,1
8,3,-66.3477325,0.016623391,2
6,5,-83.50631642,0.003008371,1
7,0,-44.89034658,0.000917478,0
18,0,-48.12548967,0.001519961,0
9,6,-53.80871939,0.001536697,0
7,4,-50.34204418,0.001871985,0
11,1,-58.30884427,0.002092843,0
8,2,-51.53289107,0.001935947,0
0,1,-69.51158858,0.002664592,1
21,4,-45.60581381,0.000687854,0
19,6,-54.52812623,0.001218794,0
15,2,-53.20626877,0.00073737,0
7,6,-69.65216867,0.005760984,1
23,4,-92.95400156,0.00249458,1
22,6,-80.76351709,0.003873801,1
1,4,-77.69330497,0.005580168,1
10,2,-52.80778118,0.001728501,0
20,0,-55.45270791,0.000361439,0
7,1,-60.5372177,0.001938775,0
7,1,-74.11878577,0.016767969,2
9,4,-68.13131627,0.001496647,2
7,0,-64.11206806,0.000691345,0
8,6,-48.71864609,0.000827225,0
20,2,-68.84961043,9.68E-05,0
3,2,-57.19929703,0.007401298,1
3,0,-84.8546102,0.003818727,1
21,6,-60.40384942,0.002026178,0
9,5,-58.67272248,0.000758746,0
18,5,-61.87600032,0.001714775,0
2,6,-79.66785191,0.001796264,1
2,0,-71.9586142,0.004438317,1
6,3,-58.27749274,0.002035897,0
9,1,-53.32229361,0.001348157,0
11,5,-72.72659445,0.001362133,1
2,1,-76.78040867,0.007108005,1
22,2,-49.16872676,0.001195494,0
18,2,-62.90298673,0.001721922,0
0,1,-63.56681935,0.002068465,0
0,6,-45.48857952,0.005871389,1
12,3,-62.98139658,0.001103632,0
22,6,-63.5191058,0.005719994,1
20,4,-74.04614375,0.003991235,1
20,0,-52.70293317,0.001397586,0
20,4,-45.63841033,0.001636088,0
18,1,-67.7105478,0.001424585,0
8,3,-44.78427691,0.002863813,0
15,0,-68.99098854,0.005387691,1
14,6,-57.54969437,0.005537123,1
11,4,-56.9212225,0.001789554,0
8,0,-49.74108029,0.00320038,0
22,5,-53.08936491,0.001520981,0
19,5,-15.05050813,0.001373924,0
8,4,-45.21031727,0.001268066,0
11,2,-57.72726302,0.001284533,0
9,4,-71.5196591,0.00228276,0
21,6,-57.22955093,0.002107599,0
21,6,-74.36972527,0.001687755,0
22,1,-52.96002599,0.001058503,0
8,5,-75.6442163,0.000872786,0
21,6,-55.36689007,0.001243598,0
18,5,-75.25796868,0.000938662,0
1,0,-56.39955653,0.001029955,0
12,3,-59.25734851,0.002904101,0
7,6,-51.44641338,0.001407381,0
23,6,-68.936082,0.017719142,2
23,6,-59.74007652,0.001550031,0
19,4,-59.48486109,0.000267414,0
23,2,-63.73476795,0.00339115,1
3,4,-95.58618245,0.002434656,2
9,0,-65.27667413,0.000749614,0
9,6,-28.50480155,0.00079592,0
8,1,-62.39651292,0.00128226,0
4,4,-74.4558007,0.004635114,1
21,0,-50.23484754,0.001402815,0
14,1,-41.30367773,0.001503043,0
7,3,-63.55968125,0.001765454,0
12,3,-43.58281822,0.004477842,2
18,5,-64.91242162,0.001173309,0
2,6,-81.21394156,0.005685936,1
13,4,-65.35825579,0.003944746,1
19,4,-56.13062377,0.000227895,0
9,2,-72.51937364,0.000791758,0
4,1,-53.52151758,0.001517741,0
2,2,-73.31954917,0.003603378,1
18,5,-52.68734369,0.000966007,0
21,5,-50.16703288,0.001225837,0
8,1,-62.7870307,0.001441743,0
18,0,-54.99453745,0.002283867,0
7,4,-46.96498692,0.000590284,0
21,5,-47.8428225,0.001384995,0
19,6,-59.01095417,0.001499543,0
10,1,-71.79817924,0.012951032,2
8,5,-61.48800691,0.000990577,0
17,0,-60.76787626,0.002023086,1
8,1,-57.88031415,0.002218344,0
15,5,-65.6949152,0.019062778,2
23,3,-50.57309145,0.002251382,0
2,4,-68.34136448,0.004319389,1
7,5,-42.338441,0.001284383,0
2,3,-67.20942262,0.010923997,1
8,3,-60.83731699,0.00070279,0
15,3,-62.84835108,0.001297514,2
20,0,-81.74138994,0.002915502,2
14,5,-68.24295105,0.002080796,0
12,0,-55.97645706,0.00067976,0
7,2,-52.42657167,0.001122183,0
9,1,-53.4320246,0.000609553,0
8,3,-54.77589668,0.002043039,0
11,4,-73.66931301,0.011818667,2
2,2,-62.64611739,0.001666849,1
10,5,-76.42397692,0.001202746,1
22,3,-59.99304581,0.002907573,1
22,2,-64.31362952,0.008314433,1
22,4,-78.88542554,0.001401512,1
18,0,-54.86947519,0.002156709,0
9,6,-58.06253752,0.002194126,0
6,6,-59.52409031,0.001320589,0
19,2,-56.62019382,0.001275986,0
7,1,-51.68914028,0.000689515,0
8,6,-58.7035161,0.001301453,0
8,1,-52.40900892,0.000865608,0
21,2,-57.21245567,0.000909568,0
12,0,-46.97293789,0.001044356,0
6,3,-66.81539942,0.001104109,0
20,5,-57.56098323,0.002542147,1
3,0,-76.94548771,0.006801894,2
7,3,-43.85236378,0.001075991,0
21,0,-39.48009287,0.000901205,0
9,0,-46.92422569,0.00143204,0
1,1,-90.88416632,0.00179818,1
21,6,-47.31756163,0.000426786,0
3,0,-48.08605108,0.003539095,0
10,2,-45.68333223,0.00223039,0
21,0,-77.79030736,0.003733236,1
20,1,-51.71574388,0.001979687,0
11,5,-70.64261247,0.017151834,2
8,1,-52.15464841,0.000358212,0
23,5,-39.98354965,0.004207386,1
20,3,-68.5134643,0.002073565,0
0,0,-70.30575274,0.019471994,2
21,3,-35.87387068,0.001707951,0
7,2,-49.93338539,0.000616936,0
19,0,-74.97441749,0.001196579,0
20,6,-61.24925103,0.000749554,0
10,5,-55.04788778,0.002629067,1
23,5,-65.22300284,0.004776024,1
21,0,-45.84192311,0.000374843,0
20,6,-46.90890437,0.00058914,0
18,5,-62.60728584,0.000800213,0
13,4,-70.75944811,0.003821039,1
22,3,-58.10677551,0.002040034,0
8,6,-59.0401348,0.000311218,0
1,3,-63.7889634,0.001203593,0
19,0,-71.89018334,0.007252341,1
9,2,-53.05501233,0.000781352,0
22,3,-59.70523486,0.001286443,0
18,2,-70.12008137,0.001438855,0
19,4,-55.03820064,0.001958845,0
4,6,-65.55920449,0.003558564,1
22,6,-46.16046462,0.000362364,0
23,6,-64.13889132,0.005992551,1
3,2,-63.87678835,0.001671086,1
22,2,-67.34242575,0.001216489,0
1,1,-55.4895075,0.001338856,0
14,6,-83.33280316,0.002715245,2
22,3,-52.15904206,0.00517848,1
2,3,-63.1747072,0.004732155,1
12,3,-62.88431681,0.001117105,0
22,0,-64.38525247,0.000991222,0
9,6,-49.05270396,0.002023286,0
4,4,-76.76020132,0.010287983,1
8,5,-51.64235513,0.001898677,0
0,3,-61.80930512,0.001198333,0
19,4,-49.41048949,0.00199922,0
19,6,-54.42495251,0.004012781,0
14,0,-56.90168834,0.000891906,0
11,1,-55.47860915,0.000813625,0
17,3,-64.76861971,0.001649044,0
9,5,-38.25441654,0.000370291,0
13,1,-56.00805281,0.00352451,1
1,3,-62.33285564,0.001602867,0
20,5,-60.43786582,0.001345481,0
22,3,-56.57537446,0.000965759,0
14,0,-109.8756601,0.009544578,1
3,6,-70.89090223,0.00501206,1
4,0,-57.45266702,0.004417361,1
7,1,-69.43111301,0.000883525,0
21,1,-62.52319133,0.001582886,0
22,1,-52.45673293,0.000823419,0
8,2,-59.77303247,0.001789602,0
18,2,-53.91729322,0.00236518,0
7,1,-62.75602805,0.001056861,0
9,6,-58.23489594,0.00061281,0
22,5,-62.22159731,0.000709274,0
9,1,-47.45769189,0.001436382,0
15,4,-52.18167645,0.001874865,0
19,2,-47.99064666,0.00116993,0
6,2,-60.81766937,0.012383648,2
20,5,-79.54769318,0.00366199,1
23,6,-65.77217443,0.003506868,1
6,5,-63.62395401,0.000605104,0
3,6,-79.26895332,0.00594455,1
21,5,-44.85878791,0.001187309,0
19,0,-43.81127196,0.000800926,0
9,6,-54.14044501,0.001628412,0
13,5,-44.51030461,0.00093029,0
16,2,-58.69097772,0.000456767,0
7,5,-47.93756935,0.000714829,0
22,3,-59.06186643,0.001562863,0
7,5,-51.6960087,0.00244237,0
9,2,-53.79302503,0.000491553,0
22,1,-62.30248735,0.000292009,0
22,4,-51.02879906,0.001179851,0
8,5,-55.88428478,0.002291698,0
7,4,-53.26653505,0.000978654,0
19,0,-61.18749993,0.001111346,0
2,4,-60.89449915,0.004019846,1
0,2,-84.63768127,0.006422405,1
7,0,-59.56512344,0.001027908,0
0,0,-68.94472693,0.005596878,1
21,6,-59.67564233,0.000881365,0
18,4,-53.32423933,0.001006176,0
20,5,-50.6215786,0.001249613,0
18,2,-57.22035405,0.000158297,0
9,3,-43.79866878,0.001738377,0
20,6,-25.33233489,0.001522687,0
13,2,-49.62641453,0.001717403,0
10,0,-59.31444012,0.001647664,0
7,5,-55.0569889,0.001968267,0
1,5,-48.83699957,0.00543486,1
19,6,-37.27564307,0.000415547,0
9,2,-49.49948518,0.000887675,0
2,1,-74.79028959,0.003330153,1
19,6,-46.7395455,0.001180167,0
17,0,-46.43736274,0.026531475,2
9,5,-57.35278779,0.001781074,0
20,4,-66.56164212,0.001029143,0
12,1,-82.30020918,0.022892364,2
7,5,-74.67479419,0.007034212,2
6,0,-68.03564325,0.004439458,1
14,2,-60.93272531,0.00679184,1
15,6,-54.72793523,0.001245278,0
10,0,-70.54073727,0.004565723,1
7,3,-58.25508196,0.000709557,0
18,0,-65.15998878,0.0009818,0
10,4,-75.29166911,0.005057237,1
21,5,-73.56252479,0.000645879,0
18,0,-45.66572005,0.000852947,0
7,1,-57.12483648,0.002097225,0
19,3,-56.09064674,0.000403228,0
22,2,-57.10197398,0.001564741,0
19,0,-45.75759671,0.001732919,0
8,2,-44.43668792,0.000394769,0
20,6,-56.59079795,0.00110785,0
18,4,-59.12144112,0.004778899,1
22,5,-35.33371588,0.000667439,0
19,4,-51.16511237,0.000579423,0
9,6,-40.0629093,0.011784293,2
19,0,-75.58819395,0.001097712,0
8,1,-44.94336185,0.000310323,0
19,4,-50.77278164,0.002177053,0
1,0,-58.67545783,0.006464783,1
3,2,-100.2736137,0.007915583,2
21,2,-75.17764309,0.003714027,1
2,2,-73.96130468,0.002810887,1
8,2,-53.30882746,0.001307613,0
16,0,-56.3475505,0.00341439,1
3,5,-66.43258915,0.005105046,1
9,1,-54.97481818,0.000679482,0
1,6,-60.82537521,0.001232776,0
0,0,-42.76856804,0.000668777,0
3,1,-54.73869998,0.004723429,1
2,4,-69.11721581,0.00440322,1
12,1,-66.77629658,0.002316881,0
21,4,-62.68102991,0.001657034,0
22,5,-64.96261997,0.00239985,0
9,2,-68.04445762,0.001809667,0
18,1,-65.19385695,0.00073491,0
18,5,-59.44355834,0.000290496,0
19,3,-67.75445918,0.000156857,0
8,1,-65.09639219,0.000210786,0
19,6,-72.21016058,0.017789228,2
19,5,-47.29855812,0.001406756,0
18,0,-71.64204344,0.003031211,1
17,5,-45.17262482,0.002261403,0
7,1,-64.99911449,0.001941549,0
13,3,-84.26897989,0.00864087,2
5,5,-50.21928102,0.00415245,1
8,5,-50.08583771,0.002513684,0
8,2,-59.66247979,0.016492663,2
22,6,-71.14265185,0.004951122,1
4,2,-60.99764144,0.006087163,1
8,5,-66.23391653,0.000205561,0
7,0,-77.62279778,0.00156215,1
19,6,-53.80321634,0.000274101,0
14,3,-50.67413882,0.004439164,1
13,2,-80.09878907,0.001395509,2
11,3,-77.53661076,0.004019434,2
3,0,-24.71944461,0.000869355,0
19,4,-62.93634849,0.001657888,0
0,5,-83.53018483,0.001194611,1
11,5,-46.67655286,0.000418712,0
21,6,-69.07956736,0.00211312,0
19,5,-44.95559115,0.001032506,0
21,3,-42.82269334,0.000187817,0
13,5,-70.07008659,0.003679786,1
23,4,-51.79249872,0.003028189,1
22,6,-57.055561,0.001069527,0
21,6,-42.34829021,0.000813817,0
22,2,-55.61803608,0.000875935,0
9,0,-58.20699165,0.001153481,0
6,3,-45.47131316,0.000507681,0
21,6,-49.20690753,0.00156673,0
15,2,-70.9177002,0.001560144,0
4,3,-77.1689671,0.007320445,1
2,3,-83.68001887,0.00614559,1
2,3,-56.42101175,0.003508443,1
19,6,-63.69888624,0.001120186,0
19,0,-56.76430583,0.001949949,0
7,5,-55.57266777,0.000981043,0
17,4,-93.40104224,0.022334489,2
21,3,-61.41222072,0.001298723,0
10,3,-52.30769295,0.000814746,0
2,2,-87.01243473,0.005415907,1
19,5,-52.25022618,0.005322187,1
18,5,-60.98634784,0.000168377,0
17,4,-42.28847737,0.000490668,0
9,5,-57.89261849,0.00144611,0
7,4,-59.45704458,0.00079076,0
2,3,-58.19985622,0.000884637,0
17,3,-100.107027,0.000450488,2
22,2,-53.42606141,0.000646541,0
18,5,-50.72508081,0.001791018,0
2,0,-70.23575988,0.003730533,1
20,4,-62.83809558,0.000685779,0
8,1,-82.95318802,0.018239967,2
